doc,rank,term,count
physics_chapters/chapter_18.md,5,force,184
physics_chapters/chapter_18.md,6,figure,134
physics_chapters/chapter_18.md,7,positive,105
physics_chapters/chapter_18.md,8,charged,94
physics_chapters/chapter_18.md,9,conductor,76
physics_chapters/chapter_18.md,10,point,75
physics_chapters/chapter_18.md,11,negative,74
physics_chapters/chapter_18.md,12,b,67
physics_chapters/chapter_18.md,13,electrostatic,66
physics_chapters/chapter_18.md,14,coulomb,65
physics_chapters/chapter_18.md,15,lines,60
physics_chapters/chapter_18.md,16,electrons,60
physics_chapters/chapter_18.md,17,magnitude,55
physics_chapters/chapter_18.md,18,static,50
physics_chapters/chapter_18.md,19,distance,50
physics_chapters/chapter_18.md,20,object,49
physics_chapters/chapter_19.md,1,charge,248
physics_chapters/chapter_19.md,2,potential,209
physics_chapters/chapter_19.md,3,energy,189
physics_chapters/chapter_19.md,4,electric,189
physics_chapters/chapter_19.md,5,voltage,138
physics_chapters/chapter_19.md,6,field,133
physics_chapters/chapter_19.md,7,capacitor,124
physics_chapters/chapter_19.md,8,capacitance,107
physics_chapters/chapter_19.md,9,figure,81
physics_chapters/chapter_19.md,10,plates,78
physics_chapters/chapter_19.md,11,parallel,77
physics_chapters/chapter_19.md,12,capacitors,74
physics_chapters/chapter_19.md,13,lines,65
physics_chapters/chapter_19.md,14,difference,60
physics_chapters/chapter_19.md,15,point,59
physics_chapters/chapter_19.md,16,equipotential,56
